ratio,seen_ratio,game,unseen_games,seen_acc,unseen_acc,seen_reg,unseen_reg,seen_avg_diff,unseen_avg_diff,seen_norm_diff,unseen_norm_diff,doom_enum_0,doom_enum_1,doom_enum_2,doom_enum_3,doom_enum_4,dungeon_enum_0,dungeon_enum_1,dungeon_enum_2,dungeon_enum_3,dungeon_enum_4,pokemon_enum_0,pokemon_enum_1,pokemon_enum_2,pokemon_enum_3,pokemon_enum_4,sokoban_enum_0,sokoban_enum_1,sokoban_enum_2,sokoban_enum_3,sokoban_enum_4,zelda_enum_0,zelda_enum_1,zelda_enum_2,zelda_enum_3,zelda_enum_4,run_id,run_name,run_state,cfg_unseen_games,cfg_seen_ratio,cfg_seed
0.03,0.05,all,pkdm,1.0,1.0,0.0837251108884811,0.1519454157352447,0.0801834051119556,0.1540677223855974,1.0566922553895628,1.603370355623235,0.1008110251277685,0.0500276188584084,0.1787289622779254,0.1769050297048169,0.1981967322326995,0.1435836168812282,0.0877478406053458,0.0042467398512909,0.1652460939960904,0.1454471501487272,0.1103356113629554,0.0532512546932629,0.2943513669133945,0.1587474663404054,0.2193221563443375,0.0310717624586981,0.0428744768677045,0.0469274781282665,0.0008528089789165,0.000770072295636,0.0572935113484419,0.0605339864366932,0.130612282045916,0.1529332727511872,0.1326099838851907,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
0.05,0.05,all,pkdm,0.9996666666666668,1.0,0.0792198002338409,0.1339480308294296,0.0764019999148529,0.1361018215141575,1.0068592309540316,1.4164006748666296,0.0950300663157745,0.045004295224839,0.1716920783050449,0.1283511324360818,0.1851415458865262,0.1394827815134134,0.0791685333833318,0.0079334453120259,0.1198663960446115,0.1343687954087736,0.1154534873084642,0.0555126683860175,0.2746959851286158,0.0699587252275509,0.2201782309226599,0.0359231173992157,0.0329782338298145,0.0665219169363234,0.0005708054755814,0.0005381920145919,0.0654792965037151,0.05188681420527,0.1276450473449978,0.1482867637599124,0.1353798595912156,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
0.1,0.05,all,pkdm,1.0,1.0,0.0780139264265696,0.1243447540998458,0.076062790380461,0.1252488032176101,1.0023889781948008,1.3034541891506355,0.0935723115862519,0.0386884104698262,0.1816029352329035,0.0837355464365157,0.1671019030986605,0.1447929980149909,0.0944174782102331,0.0059512346514455,0.1209110907834521,0.1282499110887921,0.1036522814735251,0.0629158274265332,0.2729879891953546,0.0457487486673034,0.2024820785892269,0.0381477699086472,0.0286527819669426,0.0616002355530424,0.0002122745767424,0.0009462147144586,0.059291951430654,0.0546578695899561,0.1313306344855649,0.1381952865809653,0.1335841241510282,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
0.15,0.05,all,pkdm,1.0,1.0,0.0758248935341835,0.1153488301336765,0.0736197052873188,0.1170581276487876,0.970192925987034,1.2182144893859483,0.0806589388736972,0.0390871588854079,0.1574011676271455,0.060607987991663,0.1738248092487353,0.1482527855023815,0.0895302178237238,0.0078603355992272,0.0892412333346103,0.12742837818916,0.1006565455773576,0.0626296719252053,0.2657017352936316,0.0406364394855869,0.1893768215794456,0.0301289274080379,0.0268360189157514,0.0581880244381219,0.0007596543058969,0.0010075243278697,0.0577246590870098,0.0530085590324903,0.1310538421293684,0.1332289929215454,0.1500464262945882,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
0.2,0.05,all,pkdm,1.0,1.0,0.079636040965716,0.1131967587471008,0.0779481802059788,0.114463553931938,1.027235476347794,1.1912129700627505,0.084010780547504,0.0353188359356941,0.164243051282676,0.0663331806665168,0.1673621460845744,0.1637191602691489,0.095963538427071,0.008940932135149,0.1142251128953965,0.121629904935915,0.097851992617199,0.0598768514428435,0.2535628154429564,0.0355738236720476,0.1805020616273684,0.0324764205797298,0.0301679140658833,0.0646323305599897,0.0002359418029386,0.0001379851046817,0.0545695180308471,0.0544053375720977,0.1344296565489368,0.1639420115863706,0.129746938575526,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
0.3,0.05,all,pkdm,1.0,1.0,0.0818556386033693,0.109912242770195,0.0814984417528209,0.1102225766021913,1.074022387877897,1.1470774611833017,0.0739837224698728,0.0351506154587928,0.1684711631829697,0.0497801100852299,0.1667506506930835,0.1484254021104888,0.0996163321539686,0.0036606502941088,0.1099535215733808,0.1387494072002708,0.0880009305862645,0.0576340564563449,0.2586203390342471,0.0277195476335103,0.1761146304215979,0.0288921516489338,0.0339060550059505,0.063225808435852,0.0002301998479733,0.0004182168894658,0.0528666532589393,0.0576170783293874,0.1618654094720434,0.164962154280885,0.1580875857906659,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
1.0,0.05,all,pkdm,1.0,1.0,0.0760168278415997,0.0955673244893551,0.0758815111050425,0.0960899157485738,1.0,1.0,0.0683596383228346,0.0318957424544273,0.1491046307444125,0.0271777871935073,0.157301923738573,0.1249997530558809,0.0924386709488084,0.0011293277915645,0.1001567422068132,0.1469453573947595,0.0644493053356806,0.0512846196438633,0.2295062039336131,0.0196918490267694,0.1621274570920565,0.0271962372837839,0.0278974973676192,0.0581165317771504,0.0003016988711914,0.0004144109378034,0.0507813925737316,0.0684160919565903,0.1345086796026603,0.1751925536962919,0.1297277211109893,fscpzjhz,clipdec-unseen-game-all_unseen-pkdm_sr-0.05_md-ts_exp-def_0,finished,pkdm,0.05,0
0.0,0.0,all,dgdm,0.1973333333333333,0.2085,0.2682330604394277,0.2418470675945282,0.2651180668960013,0.2433933647629484,1.3854987987332836,4.114160993367529,0.0765877039068275,0.0359667419119084,0.3767948684169025,0.2174611016384606,0.4178925151760513,0.1962858987091785,0.0965416990771082,0.5227662656365372,0.1807422134840842,0.3128946396724257,0.1159004219135834,0.0655985666533647,0.3593074160593527,0.215738988244066,0.4307019151378386,0.1008375309609078,0.0737844111032821,0.2204161332648934,0.4691043073222751,0.6616523495316505,0.1247613207229132,0.1102256087880385,0.1755969153315413,0.3390061289221797,0.5141389894841323,3jozfnz4,clipdec-unseen-game-all_unseen-dgdm_sr-0.0_md-ts_exp-def_0,finished,dgdm,0.0,0
0.01,0.0,all,dgdm,1.0,1.0,0.2329682844877243,0.1324825830459594,0.2316521158316951,0.1311727024819119,1.210606775941598,2.2172568938816,0.1655123174466468,0.0520932937556124,0.1448034843194253,0.1515894585912957,0.1645436336059828,0.21083487688902,0.1091110762116944,0.0006986844821878,0.1545797694142502,0.1579604301030042,0.1485983921372475,0.0698595073937022,0.3064434016069518,0.1909329360350966,0.2777312920972852,0.0499487851922576,0.0431454302977077,0.3061075972989925,0.422836716118313,0.5677431572973728,0.0815966758623863,0.0832186780477824,0.4357685969212873,0.2790709674807649,0.211779603688278,3jozfnz4,clipdec-unseen-game-all_unseen-dgdm_sr-0.0_md-ts_exp-def_0,finished,dgdm,0.0,0
0.03,0.0,all,dgdm,1.0,1.0,0.2264552828073501,0.1041787953972816,0.2257107458226572,0.1031119296596509,1.1795573604614338,1.7429360877185698,0.0946476287725898,0.0410573736150214,0.1448418860055404,0.1080231916484902,0.1553898780329807,0.1505579340517224,0.0806858905136878,0.0004474824138281,0.1284563475021041,0.1270116840405439,0.1267520991798064,0.0573292078271424,0.305440476629883,0.1421219640794922,0.2221522923595834,0.0523917412435686,0.0795868160437099,0.3052101945414126,0.4955934372686204,0.5376897908747196,0.0640929813668565,0.110076955431386,0.4358178921491558,0.2291855471367812,0.2222197912077405,3jozfnz4,clipdec-unseen-game-all_unseen-dgdm_sr-0.0_md-ts_exp-def_0,finished,dgdm,0.0,0
